,date,open,high,low,close,volume,ticker
0,2014-05-20,9960,10100,9770,10070,280870,VCB
1,2014-05-21,10100,10100,9920,10030,289340,VCB
2,2014-05-22,10030,10070,9960,9960,463230,VCB
3,2014-05-23,9960,9960,9700,9700,493560,VCB
4,2014-05-26,9810,10070,9700,10070,319920,VCB
5,2014-05-27,10070,10510,10030,10510,482210,VCB
6,2014-05-28,10510,10730,10510,10660,849320,VCB
7,2014-05-29,10690,10770,10470,10550,360170,VCB
8,2014-05-30,10550,10690,10470,10690,397450,VCB
9,2014-06-02,10730,10730,10470,10690,306000,VCB
10,2014-06-03,10690,10690,10620,10660,229670,VCB
11,2014-06-04,10550,10620,10440,10510,68300,VCB
12,2014-06-05,10330,10470,10290,10290,208520,VCB
13,2014-06-06,10510,10690,10440,10620,331530,VCB
14,2014-06-09,10690,10730,10580,10620,373710,VCB
15,2014-06-10,10660,10690,10550,10550,304310,VCB
16,2014-06-11,10620,10730,10580,10730,329650,VCB
17,2014-06-12,10880,11210,10840,10990,535340,VCB
18,2014-06-13,11100,11140,11030,11100,286880,VCB
19,2014-06-16,11030,11030,10880,11030,692070,VCB
20,2014-06-17,10990,11060,10950,11060,513190,VCB
21,2014-06-18,11550,11680,11420,11510,1258160,VCB
22,2014-06-19,11420,11460,11150,11330,472560,VCB
23,2014-06-20,11330,11460,11020,11020,1663210,VCB
24,2014-06-23,11020,11640,11020,11590,1147970,VCB
25,2014-06-24,11550,11640,11510,11510,645440,VCB
26,2014-06-25,11510,11680,11510,11640,730210,VCB
27,2014-06-26,11640,11770,11590,11680,829790,VCB
28,2014-06-27,11680,11730,11640,11640,480590,VCB
29,2014-06-30,11730,11730,11550,11590,65430,VCB
30,2014-07-01,11640,11640,11460,11510,452640,VCB
31,2014-07-02,11590,11590,11420,11460,307940,VCB
32,2014-07-03,11510,11550,11420,11460,251340,VCB
33,2014-07-04,11460,11590,11420,11550,419000,VCB
34,2014-07-07,11590,11680,11550,11640,481630,VCB
35,2014-07-08,11640,11640,11550,11590,177750,VCB
36,2014-07-09,11590,11590,11460,11460,261180,VCB
37,2014-07-10,11460,11550,11370,11370,272570,VCB
38,2014-07-11,11420,11420,11330,11370,290530,VCB
39,2014-07-14,11370,11420,11280,11370,115020,VCB
40,2014-07-15,11420,11460,11370,11420,265080,VCB
41,2014-07-16,11420,11590,11420,11550,392220,VCB
42,2014-07-17,11510,11590,11460,11460,203220,VCB
43,2014-07-18,11550,11590,11460,11590,391340,VCB
44,2014-07-21,11590,11640,11460,11590,237300,VCB
45,2014-07-22,11510,11550,11420,11420,128580,VCB
46,2014-07-23,11370,11510,11370,11460,54230,VCB
47,2014-07-24,11420,11510,11420,11510,178060,VCB
48,2014-07-25,11420,11550,11420,11420,202600,VCB
49,2014-07-28,11420,11420,11240,11330,192670,VCB
50,2014-07-29,11280,11420,11240,11420,167520,VCB
51,2014-07-30,11330,11420,11240,11330,92210,VCB
52,2014-07-31,11280,11370,11240,11330,164230,VCB
53,2014-08-01,11280,11420,11280,11420,148610,VCB
54,2014-08-04,11280,11460,11280,11460,247230,VCB
55,2014-08-05,11460,11590,11370,11590,529870,VCB
56,2014-08-06,11590,11590,11510,11510,133380,VCB
57,2014-08-07,11460,11510,11460,11510,319690,VCB
58,2014-08-08,11460,11550,11460,11460,165270,VCB
59,2014-08-11,11420,11510,11330,11370,219270,VCB
60,2014-08-12,11370,11460,11370,11420,67530,VCB
61,2014-08-13,11420,11510,11420,11510,206990,VCB
62,2014-08-14,11510,11510,11370,11460,205890,VCB
63,2014-08-15,11370,11460,11330,11370,199200,VCB
64,2014-08-18,11370,11460,11370,11420,192610,VCB
65,2014-08-19,11420,11460,11370,11420,377640,VCB
66,2014-08-20,11370,11820,11370,11730,1362550,VCB
67,2014-08-21,11730,12040,11680,12040,1269510,VCB
68,2014-08-22,12040,12170,11990,12040,782990,VCB
69,2014-08-25,12040,12130,11950,12130,1071600,VCB
70,2014-08-26,12130,12350,11990,12350,1074900,VCB
71,2014-08-27,12210,12300,12080,12210,397700,VCB
72,2014-08-28,12210,12260,12040,12170,435590,VCB
73,2014-08-29,12170,12440,12170,12390,764530,VCB
74,2014-09-03,12390,12610,12390,12520,497010,VCB
75,2014-09-04,12440,12750,12300,12750,1262820,VCB
76,2014-09-05,12750,13010,12610,12970,586820,VCB
77,2014-09-08,12970,13010,12880,12970,331740,VCB
78,2014-09-09,12970,12970,12610,12660,720410,VCB
79,2014-09-10,12750,12750,12440,12660,626170,VCB
80,2014-09-11,12610,12700,12520,12610,131340,VCB
81,2014-09-12,12570,12610,12440,12610,170420,VCB
82,2014-09-15,12610,12610,12260,12300,549300,VCB
83,2014-09-16,12260,12300,11900,12130,766540,VCB
84,2014-09-17,12130,12170,11990,12040,307610,VCB
85,2014-09-18,12040,12300,12040,12080,107130,VCB
86,2014-09-19,11950,12080,11640,11640,1531950,VCB
87,2014-09-22,11860,11990,11860,11860,522460,VCB
88,2014-09-23,11860,11950,11820,11860,139320,VCB
89,2014-09-24,11860,11950,11770,11820,748120,VCB
90,2014-09-25,11770,11820,11590,11730,818580,VCB
91,2014-09-26,11860,11860,11680,11680,556060,VCB
92,2014-09-29,11640,11640,11550,11590,996190,VCB
93,2014-09-30,11510,11680,11510,11550,1088850,VCB
94,2014-10-01,11730,11770,11550,11680,1156710,VCB
95,2014-10-02,11730,12130,11730,12130,631980,VCB
96,2014-10-03,12170,12210,12130,12170,838150,VCB
97,2014-10-06,12080,12170,11990,12040,420510,VCB
98,2014-10-07,12040,12080,11950,12040,241160,VCB
99,2014-10-08,12040,12040,11900,11950,142470,VCB
100,2014-10-09,11950,12130,11900,12040,303110,VCB
101,2014-10-10,12080,12080,11950,11950,242990,VCB
102,2014-10-13,11950,11950,11820,11950,213690,VCB
103,2014-10-14,11860,11950,11820,11820,105230,VCB
104,2014-10-15,11730,11900,11640,11900,268140,VCB
105,2014-10-16,11820,11860,11680,11820,372630,VCB
106,2014-10-17,11730,11770,11510,11680,544860,VCB
107,2014-10-20,11680,11900,11640,11770,86000,VCB
108,2014-10-21,11820,11860,11730,11820,82890,VCB
109,2014-10-22,11730,11900,11730,11820,204730,VCB
110,2014-10-23,11770,11820,11680,11730,315030,VCB
111,2014-10-24,11680,11820,11680,11730,115150,VCB
112,2014-10-27,11730,11770,11510,11510,151010,VCB
