,time,open,high,low,close,volume,ticker
0,2014-05-20,7640,7750,7590,7750,181780,BID
1,2014-05-21,7640,7900,7590,7850,604540,BID
2,2014-05-22,7850,7850,7690,7690,233070,BID
3,2014-05-23,7750,7750,7640,7750,163360,BID
4,2014-05-26,7690,7750,7640,7690,103450,BID
5,2014-05-27,7690,7900,7690,7900,445140,BID
6,2014-05-28,7900,7900,7800,7850,404820,BID
7,2014-05-29,7800,7900,7800,7850,423040,BID
8,2014-05-30,7800,7850,7750,7800,192420,BID
9,2014-06-02,7800,7800,7640,7690,278960,BID
10,2014-06-03,7640,7750,7640,7640,168500,BID
11,2014-06-04,7640,7690,7540,7640,157450,BID
12,2014-06-05,7640,7640,7540,7640,54870,BID
13,2014-06-06,7590,7690,7590,7690,91870,BID
14,2014-06-09,7690,7750,7590,7640,162110,BID
15,2014-06-10,7640,7800,7590,7750,216450,BID
16,2014-06-11,7750,7750,7640,7750,361280,BID
17,2014-06-12,7750,7850,7750,7850,454450,BID
18,2014-06-13,7800,7900,7750,7850,507030,BID
19,2014-06-16,7850,7900,7800,7850,343780,BID
20,2014-06-17,7850,7900,7800,7850,241630,BID
21,2014-06-18,7850,7900,7800,7850,427080,BID
22,2014-06-19,7800,7850,7690,7850,310390,BID
23,2014-06-20,7800,7850,7750,7750,136260,BID
24,2014-06-23,7750,7850,7750,7850,210760,BID
25,2014-06-24,7800,7900,7800,7900,317550,BID
26,2014-06-25,7850,7900,7800,7900,282130,BID
27,2014-06-26,7850,8060,7800,7960,561760,BID
28,2014-06-27,7900,8010,7900,8010,295440,BID
29,2014-06-30,8010,8010,7900,8010,259480,BID
30,2014-07-01,7960,7960,7900,7960,375930,BID
31,2014-07-02,7960,8060,7900,8010,650420,BID
32,2014-07-03,8010,8060,7960,8010,391260,BID
33,2014-07-04,8010,8010,7960,8010,206750,BID
34,2014-07-07,7960,8010,7900,7900,252570,BID
35,2014-07-08,7900,7960,7800,7800,284940,BID
36,2014-07-09,7850,7960,7800,7900,304900,BID
37,2014-07-10,7900,7900,7800,7800,344960,BID
38,2014-07-11,7850,7850,7800,7850,117230,BID
39,2014-07-14,7800,7850,7750,7800,82990,BID
40,2014-07-15,7800,7850,7750,7850,355370,BID
41,2014-07-16,7900,7900,7850,7850,356200,BID
42,2014-07-17,7850,7900,7800,7850,103650,BID
43,2014-07-18,7900,7900,7850,7900,347570,BID
44,2014-07-21,7850,7900,7800,7850,126260,BID
45,2014-07-22,7800,7850,7750,7800,95750,BID
46,2014-07-23,7850,7850,7750,7750,142650,BID
47,2014-07-24,7750,7850,7750,7800,185940,BID
48,2014-07-25,7800,8270,7800,8060,1736770,BID
49,2014-07-28,8060,8109,7960,8060,450520,BID
50,2014-07-29,8109,8109,7960,7960,242380,BID
51,2014-07-30,7960,8109,7900,8010,1349570,BID
52,2014-07-31,8010,8060,7960,8010,356880,BID
53,2014-08-01,8010,8109,8010,8060,406370,BID
54,2014-08-04,8060,8330,8060,8270,1466890,BID
55,2014-08-05,8270,8330,8220,8270,730130,BID
56,2014-08-06,8270,8270,8170,8220,278630,BID
57,2014-08-07,8170,8270,8170,8220,603770,BID
58,2014-08-08,8330,8330,8109,8220,899050,BID
59,2014-08-11,8160,8220,8050,8050,256040,BID
60,2014-08-12,8050,8050,7940,8000,252780,BID
61,2014-08-13,7940,8050,7890,8050,329460,BID
62,2014-08-14,8000,8109,7940,7940,261390,BID
63,2014-08-15,8000,8000,7890,7890,202100,BID
64,2014-08-18,7830,7890,7660,7720,721730,BID
65,2014-08-19,7720,7780,7720,7720,343930,BID
66,2014-08-20,7720,7780,7720,7780,370800,BID
67,2014-08-21,7830,7890,7720,7890,475540,BID
68,2014-08-22,7890,7890,7720,7720,585500,BID
69,2014-08-25,7780,7780,7720,7720,313870,BID
70,2014-08-26,7780,7830,7720,7830,367320,BID
71,2014-08-27,7830,7830,7720,7720,227180,BID
72,2014-08-28,7720,7780,7720,7780,202330,BID
73,2014-08-29,7780,8280,7720,8280,2090500,BID
74,2014-09-03,8280,8390,8109,8160,593880,BID
75,2014-09-04,8109,8220,8000,8050,390050,BID
76,2014-09-05,8000,8050,7890,8000,739480,BID
77,2014-09-08,8000,8000,7890,7890,846120,BID
78,2014-09-09,7890,7940,7780,7890,399870,BID
79,2014-09-10,7830,7890,7780,7830,252240,BID
80,2014-09-11,7830,7890,7780,7830,209860,BID
